projectName,age,status,yearOfEvent
metacity,11,1,2012
gajim,9,1,2012
windirstat,8,1,2011
Jitsi,7,1,2012
openlayers,6,1,2012
tuxracer,11,1,2011
jboss-transactions,6,1,2012
turtlemine,0,1,2012
GDCM,7,1,2012
joomla,7,1,2012
classpath,14,1,2012
xmoto,5,1,2012
bibdesk,10,1,2012
venkman,14,1,2012
naev,5,1,2012
kolab,10,1,2012
weechat,9,1,2012
Openfire,5,1,2012
movabletype,3,2,2011
angularjs,2,1,2012
coremanager,2,1,2012
findbugs,9,1,2012
fltk,14,1,2012
gnustep,8,1,2012
freebsd,19,1,2012
qvm86,1,2,2006
eucalyptus,3,1,2012
codeblocks,8,1,2012
theunarchiver,5,1,2012
freemind,1,1,2012
tkabber,10,1,2012
observium,5,1,2012
Hadoop,6,1,2012
keychain,10,2,2011
noc,4,1,2012
lesscss,2,1,2012
system_data_sqlite,6,2,2011
google-guice,6,1,2012
googletest,4,1,2012
cpan,9,1,2012
winmerge,12,1,2012
prebuild,5,2,2011
swfobject,3,2,2010
dtc,9,1,2012
webpy,6,1,2012
masstransit,4,1,2012
CodeIgniter,6,1,2012
mod_wsgi,5,1,2012
neooffice,9,1,2012
Dancer_cpan,3,1,2012
aspnet,0,1,2012
mrtg,6,1,2012
openerp,5,1,2012
communitymapbuilder,11,1,2012
comix,4,2,2010
pitivi,8,1,2012
ROSorg,5,1,2012
syslog-ng,5,1,2012
dist-zilla,4,1,2012
xmlunit,11,2,2012
sling,5,1,2012
gitosis,3,2,2010
VMPK,4,1,2012
kaffeine,5,1,2012
shift,3,1,2011
Pcsx2,5,1,2012
asterisk,13,1,2012
jpcsp,4,1,2012
yade,7,1,2012
wiiflow,3,1,2012
distcc,4,1,2012
guile,16,1,2012
plexus,9,1,2012
IrrlichtEngine,6,1,2012
m2r10,2,1,2012
spree,4,1,2012
cakephp-media,4,1,2012
google-collections,3,2,2010
gendarme,9,1,2012
drupal,12,1,2012
gstreamer,12,1,2012
bison,21,1,2012
lxml,8,1,2012
haml,6,2,2012
ltb-project,3,1,2012
strawberry-perl,5,1,2012
geeqie,12,1,2012
libdmtx,7,2,2012
jgit,3,1,2012
jekyll,4,1,2012
selenium-ide,4,2,2010
layman,5,1,2012
dom4j,5,2,2006
feedparser,8,1,2012
